track_title,artist,song_link,tempo,energy,danceability,acousticness,valence,loudness
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,https://open.spotify.com/track/3W2kGv8CcwRl2MWQN5vxKL,152.859,0.695,0.656,0.0824,0.589,-5.295
I ≠ DOLL,HUH YUNJIN,https://open.spotify.com/track/1d6xaY4JvvqTWfgCeJAtWa,159.996,0.787,0.618,0.00289,0.389,-5.456
How Sweet,NewJeans,https://open.spotify.com/track/38tXZcL1gZRfbqfOG0VMTH,124.994,0.895,0.803,0.0816,0.757,-2.888
Standing Next to You,Jung Kook,https://open.spotify.com/track/2KslE17cAJNHTsI2MI0jb2,106.017,0.809,0.711,0.0447,0.816,-4.389
Sticky,KISS OF LIFE,https://open.spotify.com/track/4e1aewX6ATPcdfQIqr7gqO,99.971,0.701,0.702,0.391,0.595,-3.86
Star Signs,LE SSERAFIM,https://open.spotify.com/track/21ZvC8aUTJIe5IBT34sLbG,117.014,0.783,0.752,0.257,0.599,-3.734
Like Ooh-Ahh,TWICE,https://open.spotify.com/track/3c0CJ0DBgsGZ7I79lyx02Z,141.994,0.875,0.721,0.241,0.692,-1.166
Killin’ Me Good,JIHYO,https://open.spotify.com/track/4Cyf87ul1le0xTWRFBoYd7,111.966,0.918,0.745,0.204,0.647,-0.683
ME + YOU,TWICE,https://open.spotify.com/track/0hGWmmZuKyd8sO7RCvF6rH,97.042,0.83,0.748,0.0736,0.706,-3.794
ATM (JIHYO),TWICE,https://open.spotify.com/track/7angRTnu7Xopk5DV3dXivC,139.944,0.608,0.736,0.19,0.425,-6.038
GO,BLACKPINK,https://open.spotify.com/track/0mYa3o6tlUN5HRippmKmwH,103.124,0.589,0.611,0.0232,0.203,-9.289
Champion,BLACKPINK,https://open.spotify.com/track/3oraRy91vke1aof4tIrQfr,159.918,0.756,0.661,0.0244,0.327,-7.787
Fxxxboy,BLACKPINK,https://open.spotify.com/track/7m0duH1vdTNxM2g8BLfR0F,190.298,0.34,0.527,0.431,0.283,-10.004
BLACKHOLE,IVE,https://open.spotify.com/track/0ITUAjt6O8FIzGPHNQpvKu,125.873,0.911,0.66,0.109,0.345,-3.97
BANG BANG,IVE,https://open.spotify.com/track/5VtwUrgljtOyBa773AGSr4,152.155,0.903,0.629,0.0103,0.411,-3.112
OPTIONS,TWICE,https://open.spotify.com/track/3GbUMAGB0qbFJAbGNheZFA,109.965,0.741,0.711,0.261,0.523,-4.394
HELL IN HEAVEN,TWICE,https://open.spotify.com/track/3KCreWc88InXH3XuL54C5a,105.042,0.81,0.8,0.182,0.694,-3.82
I GOT YOU,TWICE,https://open.spotify.com/track/35dhwUoJNlxrPyEIJkfDnx,176.103,0.805,0.52,0.0451,0.496,-3.706
